group,Home Improvement Contractor,Debt Collection Agency,Hospitality and Food Services,Process Serving Agency,Pool or Billiard Room,Service Providers,Scale Dealer Repairer,General Vendor Distributor,Specialty Services,Scrap Metal Processor,Auction House Premises,Parking Lot,Sidewalk Cafe,Bingo Game Operator,Horse Drawn Cab Owner,Booting Company,Cabaret,root,Tow Truck Company,Amusement Device Temporary,Employment Agency,Secondhand Dealer - General,Special Sale,Storage Warehouse,Cigarette Retail Dealer,Newsstand,Amusement Arcade,Property and Real Estate,Electronics Store,Games of Chance,Secondhand Dealer - Auto,Transportation and Storage,Tow Truck Exemption,Amusement Device Permanent,Secondhand Dealer - Firearms,Pedicab Business,Laundry Jobber,Entertainment and Leisure,Amusement Device Portable,Dealer In Products,Gaming Cafe,Stoop Line Stand,Laundry,Commercial Lessor,Sightseeing Bus,Catering Establishment,Electronic & Appliance Service,Garage and Parking Lot,Garage,Retail and Sales
35882,8,0,2,0,1,11,0,0,0,0,0,1,2,0,0,0,0,49,0,0,0,7,0,0,10,0,0,4,2,0,3,5,0,1,0,1,1,2,0,0,0,3,3,0,0,0,3,0,3,25
26628,8,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,1,51,0,0,0,12,0,0,8,1,0,6,4,0,1,2,0,0,0,0,3,1,0,0,0,4,3,0,0,0,4,0,0,30
22031,10,1,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,39,2,0,0,5,0,0,11,0,0,3,3,1,0,4,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,19
22146,22,1,1,0,0,24,0,0,0,0,0,1,1,0,0,0,0,58,0,0,0,7,0,0,9,0,0,6,5,0,2,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,3,23
40396,6,2,2,0,0,12,0,0,0,0,0,0,2,0,0,0,0,55,1,0,0,6,0,1,11,0,0,7,10,0,0,2,0,0,0,0,2,2,2,1,0,2,5,0,0,0,4,0,0,30
19861,14,2,3,0,0,20,1,0,0,0,0,1,3,1,0,0,0,69,0,0,0,9,0,0,14,0,0,5,4,1,1,4,0,1,0,0,2,5,2,0,0,4,3,0,0,0,3,0,3,32
10497,10,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,46,1,0,2,8,0,0,8,2,0,1,4,1,0,2,0,0,0,0,0,1,0,2,0,2,1,0,0,0,3,0,0,26
934,11,1,3,1,0,17,0,0,0,0,1,0,2,1,0,0,2,69,1,0,0,7,0,1,15,0,0,7,3,0,1,7,0,0,0,1,4,4,1,2,0,2,3,0,0,1,4,0,4,31
32771,17,1,3,0,0,18,0,0,0,0,0,1,3,0,0,0,0,65,3,0,0,8,0,0,18,1,0,4,5,0,0,6,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,2,34
2563,10,4,3,0,0,14,0,0,0,0,0,1,3,0,0,0,0,66,0,0,0,11,0,0,14,0,0,2,5,1,1,6,0,0,0,0,1,1,0,0,0,9,1,0,0,0,0,0,5,40
